yearID,lgID,teamID,W,R,AB,H,BA,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP
2000,AL,CHA,95,978,5646,1615,0.286043216,325,33,216,591,960,119,42,53,61,839,751,4.66,5,7,43,4350,1509,195,614,1037,133,190,0.97
2000,AL,CLE,90,950,5683,1639,0.288404012,310,30,221,685,1057,113,34,51,52,816,775,4.84,6,5,34,4326,1511,173,666,1213,72,149,0.98
2000,AL,DET,79,823,5644,1553,0.275159461,307,41,177,562,982,83,38,43,49,827,755,4.71,6,6,44,4329,1583,177,496,978,105,171,0.98
2000,AL,KCA,77,879,5709,1644,0.287966369,281,27,150,511,840,121,35,48,70,930,876,5.48,10,6,29,4317,1585,239,693,927,102,185,0.98
2000,AL,MIN,69,748,5615,1516,0.269991095,325,49,116,556,1021,90,45,35,51,880,819,5.15,6,4,35,4297,1634,212,516,1042,102,155,0.98
2000,AL,NYA,87,871,5556,1541,0.277357811,294,25,205,631,1007,99,48,57,50,814,753,4.76,9,6,40,4272,1458,177,577,1040,109,135,0.98
2000,AL,BOS,85,792,5630,1503,0.2669627,316,32,167,611,1019,43,30,42,48,745,683,4.23,7,12,46,4357,1433,173,499,1121,109,120,0.98
2000,AL,TOR,83,861,5677,1562,0.275145323,328,21,244,526,1026,89,34,60,34,908,821,5.14,15,4,37,4311,1615,195,560,978,100,176,0.98
2000,AL,BAL,74,794,5549,1508,0.271760678,310,22,184,558,900,126,65,49,54,913,855,5.37,14,6,33,4299,1547,202,665,1017,116,151,0.98
2000,AL,TBA,69,733,5505,1414,0.256857402,253,22,162,559,1022,90,46,48,40,842,773,4.86,10,8,38,4293,1553,198,533,955,118,171,0.98
2000,AL,OAK,91,947,5560,1501,0.269964029,281,23,239,750,1159,40,15,52,44,813,730,4.58,7,11,43,4305,1535,158,615,963,134,164,0.97
2000,AL,SEA,91,907,5497,1481,0.269419683,300,26,198,775,1073,122,56,48,61,780,720,4.5,4,10,44,4324,1442,167,634,998,99,178,0.98
2000,AL,ANA,82,864,5628,1574,0.279673063,309,34,236,608,1024,93,52,47,43,869,805,5,5,3,46,4344,1534,228,662,846,134,184,0.97
2000,AL,TEX,71,848,5648,1601,0.283463173,330,35,173,580,922,69,47,39,48,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162,0.97
2000,NL,SLN,95,887,5478,1481,0.270354144,259,25,235,675,1253,87,51,84,53,771,698,4.38,10,7,37,4300,1403,196,606,1100,111,148,0.98
2000,NL,CIN,85,825,5635,1545,0.274179237,302,36,200,559,995,100,38,64,58,765,700,4.33,8,7,42,4368,1446,190,659,1015,111,156,0.98
2000,NL,MIL,73,740,5563,1366,0.245550962,297,25,177,620,1245,72,44,61,49,826,755,4.64,2,7,29,4398,1501,174,728,967,118,187,0.98
2000,NL,HOU,72,938,5570,1547,0.277737882,289,36,249,673,1129,114,52,83,61,944,864,5.41,8,2,30,4312,1596,234,598,1064,133,149,0.97
2000,NL,PIT,69,793,5643,1506,0.26687932,320,31,168,564,1032,86,40,66,37,888,794,4.93,5,7,27,4347,1554,163,711,1070,132,169,0.97
2000,NL,CHN,65,764,5577,1426,0.255693025,272,23,183,632,1120,93,37,54,45,904,849,5.25,10,5,39,4363,1505,231,658,1143,100,139,0.98
2000,NL,ATL,95,810,5489,1490,0.271451995,274,26,179,595,1010,148,56,59,45,714,648,4.05,13,9,53,4320,1428,165,484,1093,129,138,0.97
2000,NL,NYN,94,807,5486,1445,0.26339774,282,20,198,675,1037,66,46,45,51,738,670,4.16,8,10,49,4350,1398,164,574,1164,118,121,0.98
2000,NL,FLO,79,731,5509,1441,0.261571973,274,29,160,540,1184,168,55,60,51,797,729,4.59,5,4,48,4288,1477,169,650,1051,125,144,0.98
2000,NL,MON,67,738,5535,1475,0.266485998,310,35,178,476,1048,58,48,29,34,902,812,5.13,4,7,39,4273,1575,181,579,1011,132,151,0.97
2000,NL,PHI,65,708,5511,1386,0.251497006,304,40,144,611,1117,102,30,44,37,830,763,4.77,8,6,34,4315,1458,201,640,1123,100,136,0.98
2000,NL,SFN,97,925,5519,1535,0.278130096,304,44,226,709,1032,79,39,51,66,747,675,4.21,9,15,47,4332,1452,151,623,1076,93,173,0.98
2000,NL,LAN,86,798,5481,1408,0.256887429,265,28,211,668,1083,95,42,51,46,729,659,4.1,9,11,36,4335,1379,176,600,1154,135,151,0.97
2000,NL,ARI,85,792,5527,1466,0.265243351,282,44,179,535,975,97,44,59,58,754,698,4.35,16,8,38,4330,1441,190,500,1220,107,138,0.98
2000,NL,COL,82,968,5660,1664,0.293992933,320,53,161,601,907,131,61,42,75,897,835,5.26,7,2,33,4290,1568,221,588,1001,94,176,0.98
2000,NL,SDN,76,752,5560,1413,0.254136691,279,37,157,602,1177,131,53,46,43,815,733,4.52,5,5,46,4377,1443,191,649,1071,141,155,0.97
2001,AL,CLE,91,897,5600,1559,0.278392857,294,37,212,577,1076,79,41,69,62,821,746,4.64,3,4,42,4340,1512,148,573,1218,107,137,0.98
2001,AL,MIN,85,771,5560,1514,0.272302158,328,38,164,495,1083,146,67,64,38,766,722,4.51,12,8,45,4324,1494,192,445,965,108,121,0.98
2001,AL,CHA,83,798,5464,1463,0.267752562,300,29,214,520,998,123,59,52,51,795,725,4.55,8,7,51,4300,1465,181,500,921,118,149,0.98
2001,AL,DET,66,724,5537,1439,0.259888026,291,60,139,466,972,133,61,51,49,876,795,5.01,16,2,34,4288,1624,180,553,859,131,165,0.97
2001,AL,KCA,65,729,5643,1503,0.266347687,277,37,152,406,898,100,42,44,47,858,779,4.87,5,1,30,4320,1537,209,576,911,117,204,0.98
2001,AL,NYA,95,804,5577,1488,0.266810113,289,20,203,519,1035,161,53,64,43,713,649,4.02,7,9,57,4354,1429,158,465,1266,109,132,0.98
2001,AL,BOS,82,772,5605,1493,0.266369313,316,29,198,520,1131,46,35,70,41,745,667,4.15,3,9,48,4344,1412,146,544,1259,113,129,0.98
2001,AL,TOR,80,767,5663,1489,0.26293484,287,36,195,470,1094,156,55,74,43,753,696,4.28,7,10,41,4388,1553,165,490,1041,97,184,0.98
2001,AL,BAL,63,687,5472,1359,0.248355263,262,24,136,514,989,133,53,77,49,829,744,4.67,10,6,31,4297,1504,194,528,938,125,137,0.97
2001,AL,TBA,62,672,5524,1426,0.258146271,311,21,121,456,1116,115,52,54,25,887,781,4.94,1,6,30,4271,1513,207,569,1030,139,144,0.97
2001,AL,SEA,116,927,5680,1637,0.288204225,310,38,169,614,989,174,42,62,70,627,576,3.54,8,14,56,4395,1293,160,465,1051,83,137,0.98
2001,AL,OAK,102,884,5573,1469,0.26359232,334,22,199,640,1021,68,29,88,59,645,583,3.59,13,9,44,4390,1384,153,440,1117,125,151,0.98
2001,AL,ANA,75,691,5551,1447,0.260673752,275,26,158,494,1001,116,52,77,53,730,671,4.2,6,1,43,4313,1452,168,525,947,103,142,0.98
2001,AL,TEX,73,890,5685,1566,0.275461741,326,23,246,548,1093,97,32,75,55,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167,0.98
2001,NL,HOU,93,847,5528,1500,0.271345876,313,29,208,581,1119,64,49,89,56,769,707,4.37,7,6,48,4364,1453,221,486,1228,110,138,0.98
2001,NL,SLN,93,814,5450,1469,0.269541284,274,32,199,529,1089,91,35,65,50,684,627,3.93,8,11,38,4306,1389,196,526,1083,110,156,0.98
2001,NL,CHN,88,777,5406,1409,0.26063633,268,32,194,577,1077,67,36,66,53,701,643,4.03,8,6,41,4311,1357,164,550,1344,109,113,0.98
2001,NL,MIL,68,740,5488,1378,0.251093294,273,30,209,488,1399,66,36,72,35,806,740,4.64,3,8,28,4309,1452,197,667,1057,103,156,0.98
2001,NL,CIN,66,735,5583,1464,0.26222461,304,22,176,468,1172,103,54,65,40,850,765,4.77,2,2,35,4328,1572,198,515,943,138,136,0.97
2001,NL,PIT,62,657,5398,1333,0.246943312,256,25,161,467,1106,93,73,67,35,858,794,5.05,8,9,36,4249,1493,167,549,908,133,168,0.97
2001,NL,ATL,88,729,5498,1432,0.260458348,263,24,174,493,1039,85,46,45,52,643,578,3.59,5,13,41,4342,1363,153,499,1133,103,133,0.98
2001,NL,PHI,86,746,5497,1431,0.260323813,295,29,164,551,1125,153,47,43,61,719,667,4.15,8,7,47,4336,1417,170,527,1086,91,145,0.98
2001,NL,NYN,82,642,5459,1361,0.249313061,273,18,147,545,1062,66,48,65,35,713,654,4.07,6,14,48,4337,1418,186,438,1191,101,132,0.98
2001,NL,FLO,76,742,5542,1461,0.263623241,325,30,166,470,1145,89,40,67,45,744,691,4.32,5,11,32,4314,1397,151,617,1119,103,174,0.98
2001,NL,MON,68,670,5379,1361,0.253021008,320,28,131,478,1071,101,51,60,45,812,745,4.68,5,11,28,4294,1509,190,525,1103,108,139,0.98
2001,NL,ARI,92,818,5595,1494,0.267024129,284,35,208,587,1052,71,38,57,36,677,627,3.87,12,13,34,4379,1352,195,461,1297,84,148,0.98
2001,NL,SFN,90,799,5612,1493,0.266037063,304,40,235,625,1090,57,42,50,54,748,680,4.18,3,8,47,4390,1437,145,579,1080,118,170,0.98
2001,NL,LAN,86,758,5493,1399,0.254687784,264,27,206,519,1062,89,42,56,44,744,685,4.25,3,5,46,4352,1387,184,524,1212,116,138,0.98
2001,NL,SDN,79,789,5482,1379,0.251550529,273,26,161,678,1273,129,44,41,48,812,724,4.52,5,6,46,4322,1519,219,476,1088,145,127,0.97
2001,NL,COL,73,923,5690,1663,0.292267135,324,61,213,511,1027,132,54,61,50,906,841,5.29,8,8,26,4290,1522,239,598,1058,96,167,0.98
2002,AL,MIN,94,768,5582,1518,0.271945539,348,36,167,472,1089,79,62,56,52,712,662,4.12,8,9,47,4334,1454,184,439,1026,74,124,0.98
2002,AL,CHA,81,856,5502,1475,0.268084333,289,29,217,555,952,75,31,49,53,798,716,4.53,7,7,35,4269,1422,190,528,945,97,157,0.98
2002,AL,CLE,74,739,5423,1349,0.248755301,255,26,192,542,1000,52,37,56,39,837,777,4.91,9,4,34,4274,1508,142,603,1058,113,161,0.98
2002,AL,KCA,62,737,5535,1415,0.25564589,285,42,140,524,921,140,65,52,51,891,834,5.21,12,6,30,4323,1587,212,572,909,130,153,0.97
2002,AL,DET,55,575,5406,1340,0.247872734,265,37,124,363,1035,65,44,64,57,864,774,4.93,11,7,33,4242,1593,163,463,794,142,148,0.97
2002,AL,NYA,103,897,5601,1540,0.274950902,314,12,223,640,1171,100,38,72,41,697,625,3.87,9,11,53,4356,1441,144,403,1135,127,117,0.97
2002,AL,BOS,93,859,5640,1560,0.276595745,348,33,177,545,944,80,28,72,53,665,603,3.75,5,17,51,4338,1339,146,430,1157,104,140,0.98
2002,AL,TOR,78,813,5581,1457,0.261064325,305,38,187,522,1142,71,18,53,57,828,767,4.8,6,6,41,4315,1504,177,590,991,107,159,0.98
2002,AL,BAL,67,667,5491,1353,0.246403205,311,27,165,452,993,110,48,64,49,773,719,4.46,8,3,31,4352,1491,208,549,967,91,173,0.98
2002,AL,TBA,55,673,5604,1418,0.253033547,297,35,133,456,1115,102,45,58,36,918,846,5.29,12,3,25,4321,1567,215,620,925,126,168,0.97
2002,AL,OAK,103,800,5558,1450,0.260885211,279,28,205,609,1008,46,20,68,36,654,593,3.68,9,19,48,4356,1391,135,474,1021,102,144,0.98
2002,AL,ANA,99,851,5678,1603,0.282317718,333,32,152,462,805,117,51,74,64,644,595,3.69,7,14,54,4357,1345,169,509,999,87,151,0.98
2002,AL,SEA,93,814,5569,1531,0.274914706,285,31,152,629,1003,137,58,51,72,699,654,4.07,8,12,43,4336,1422,178,441,1063,88,134,0.98
2002,AL,TEX,72,843,5618,1510,0.268778925,304,27,230,554,1055,62,34,62,50,882,824,5.15,4,4,33,4319,1528,194,669,1030,99,152,0.98
2002,NL,SLN,97,787,5505,1475,0.267938238,285,26,175,542,927,86,42,67,49,648,595,3.7,4,9,42,4339,1355,141,547,1009,103,168,0.98
2002,NL,HOU,84,749,5503,1441,0.261857169,291,32,167,589,1120,71,27,59,37,695,643,4,2,11,43,4335,1423,151,546,1219,83,149,0.98
2002,NL,CIN,78,709,5470,1386,0.253382084,297,21,169,583,1188,116,52,66,40,774,690,4.27,2,8,42,4361,1502,173,550,980,120,169,0.98
2002,NL,PIT,72,641,5330,1300,0.243902439,263,20,142,537,1109,86,49,73,41,730,664,4.23,2,7,47,4238,1447,163,572,920,115,177,0.98
2002,NL,CHN,67,706,5496,1351,0.245815138,259,29,200,585,1269,63,21,44,39,759,687,4.29,11,9,23,4324,1373,167,606,1333,114,144,0.98
2002,NL,MIL,56,627,5415,1369,0.252816251,269,29,139,500,1125,94,50,55,34,821,752,4.73,7,4,32,4297,1468,199,666,1026,103,154,0.98
2002,NL,ATL,101,708,5495,1428,0.259872611,280,25,164,558,1028,76,39,54,49,565,511,3.13,3,15,57,4402,1302,123,554,1058,114,170,0.98
2002,NL,MON,83,735,5479,1432,0.261361562,300,36,162,575,1104,118,64,46,42,718,641,3.97,9,3,39,4359,1475,165,508,1088,139,160,0.97
2002,NL,PHI,80,710,5523,1428,0.258555133,325,41,165,640,1095,104,43,53,39,724,671,4.17,5,9,47,4349,1381,153,570,1075,88,156,0.98
2002,NL,FLO,79,699,5496,1433,0.26073508,280,32,146,595,1130,177,73,61,49,763,706,4.36,11,12,36,4369,1449,151,631,1104,106,163,0.98
2002,NL,NYN,75,690,5496,1409,0.256368268,238,22,160,486,1044,87,42,63,30,703,624,3.89,9,10,36,4328,1408,163,543,1107,144,138,0.97
2002,NL,ARI,98,819,5508,1471,0.267066086,283,41,165,643,1016,92,46,50,53,674,630,3.92,14,10,40,4340,1361,170,421,1303,89,116,0.98
2002,NL,SFN,95,783,5497,1465,0.266509005,300,35,198,616,961,74,21,65,52,616,566,3.54,10,13,43,4312,1349,116,523,992,90,166,0.98
2002,NL,LAN,92,713,5554,1464,0.263593806,286,29,155,428,940,96,37,53,44,643,598,3.69,4,15,56,4373,1311,165,555,1132,90,134,0.98
2002,NL,COL,73,778,5512,1508,0.273584906,283,41,152,497,1043,103,53,56,50,898,825,5.2,1,8,43,4280,1554,225,582,920,112,158,0.98
2002,NL,SDN,66,662,5515,1393,0.252583862,243,29,136,547,1062,71,44,30,41,815,737,4.62,5,10,40,4309,1522,177,582,1108,128,162,0.97
2003,AL,MIN,90,801,5655,1567,0.277099912,318,45,155,512,1027,94,44,63,52,758,716,4.41,7,8,45,4385,1526,187,402,997,87,114,0.98
2003,AL,CHA,86,791,5487,1445,0.263349736,303,19,220,519,916,77,29,58,41,715,663,4.17,12,4,36,4293,1364,162,518,1056,93,154,0.98
2003,AL,KCA,83,836,5568,1526,0.274066092,288,39,162,476,926,120,42,75,57,867,809,5.06,7,10,36,4316,1569,190,566,865,108,143,0.98
2003,AL,CLE,68,699,5572,1413,0.253589375,296,26,158,466,1062,86,61,62,41,778,682,4.21,5,7,34,4378,1477,179,501,943,126,178,0.98
2003,AL,DET,43,591,5466,1312,0.240029272,201,39,153,443,1099,98,63,47,49,928,847,5.3,3,5,27,4316,1616,195,557,764,138,194,0.97
2003,AL,NYA,101,877,5605,1518,0.270829616,304,14,230,684,1042,98,33,81,35,716,653,4.02,8,12,49,4386,1512,145,375,1119,114,126,0.98
2003,AL,BOS,95,961,5769,1667,0.288958225,371,40,238,620,943,88,35,53,64,809,729,4.48,5,6,36,4394,1503,153,488,1141,113,130,0.98
2003,AL,TOR,86,894,5661,1580,0.279102632,357,33,190,546,1081,37,25,90,56,826,748,4.69,14,6,36,4305,1560,184,485,984,117,161,0.98
2003,AL,BAL,71,743,5665,1516,0.26760812,277,24,152,431,902,89,36,54,40,820,767,4.76,9,3,41,4349,1579,198,526,981,105,164,0.98
2003,AL,TBA,63,715,5654,1501,0.265475769,298,38,137,420,1030,142,42,56,50,852,787,4.93,7,7,30,4310,1454,196,639,877,103,158,0.98
2003,AL,OAK,96,768,5497,1398,0.254320538,317,24,176,556,898,48,14,59,53,643,582,3.63,16,14,48,4325,1336,140,499,1018,107,145,0.98
2003,AL,SEA,93,795,5561,1509,0.271354073,290,33,139,586,989,108,37,53,46,637,602,3.76,8,15,38,4323,1340,173,466,1001,65,159,0.98
2003,AL,ANA,77,736,5487,1473,0.268452706,276,33,150,476,838,129,61,56,50,743,680,4.28,5,9,39,4294,1444,190,486,980,105,138,0.98
2003,AL,TEX,71,826,5664,1506,0.265889831,274,36,239,488,1052,65,25,75,42,969,903,5.67,4,3,43,4300,1625,208,603,1009,94,168,0.98
2003,NL,CHN,88,724,5519,1431,0.259286103,302,24,172,492,1158,73,31,50,46,683,619,3.83,13,14,36,4369,1304,143,617,1404,106,157,0.98
2003,NL,HOU,87,805,5583,1466,0.262582841,308,30,191,557,1021,66,30,81,38,677,622,3.86,1,5,50,4350,1350,161,565,1139,95,149,0.98
2003,NL,SLN,85,876,5672,1580,0.278561354,342,32,196,580,952,82,32,73,54,796,748,4.6,9,10,41,4391,1544,210,508,969,77,138,0.98
2003,NL,PIT,75,753,5581,1492,0.267335603,275,45,163,529,1049,86,37,87,38,801,744,4.64,7,10,44,4333,1527,178,502,926,123,159,0.98
2003,NL,CIN,69,694,5509,1349,0.244872028,239,21,182,524,1326,80,34,79,32,886,818,5.09,4,5,38,4339,1578,209,590,932,141,152,0.97
2003,NL,MIL,68,714,5548,1423,0.256488825,266,24,196,547,1221,99,39,71,40,873,810,5.02,5,3,44,4356,1590,219,575,1034,114,142,0.98
2003,NL,ATL,101,907,5670,1608,0.283597884,321,31,235,545,933,68,22,49,49,740,663,4.1,4,7,51,4369,1425,147,555,992,121,166,0.98
2003,NL,FLO,91,751,5490,1459,0.26575592,292,44,157,515,978,150,74,57,41,692,648,4.04,7,11,36,4336,1415,128,530,1132,78,162,0.98
2003,NL,PHI,86,791,5543,1448,0.261230381,325,27,166,651,1155,72,29,55,38,697,648,4.04,9,13,33,4331,1386,142,536,1060,97,146,0.98
2003,NL,MON,83,711,5437,1404,0.258230642,294,25,144,522,990,100,39,45,40,716,640,4.01,15,10,42,4313,1467,181,463,1028,102,152,0.98
2003,NL,NYN,66,642,5341,1317,0.246583037,262,24,124,489,1035,70,31,54,45,754,704,4.48,3,10,38,4240,1497,168,576,907,118,158,0.98
2003,NL,SFN,100,755,5456,1440,0.263929619,281,29,180,593,980,53,37,40,39,638,595,3.73,7,10,43,4312,1349,136,546,1006,80,163,0.98
2003,NL,LAN,85,574,5458,1328,0.243312569,260,25,124,407,985,80,36,72,28,556,511,3.16,3,17,58,4373,1254,127,526,1289,119,164,0.98
2003,NL,ARI,84,717,5570,1467,0.263375224,303,47,152,531,1006,76,38,45,52,685,621,3.84,7,11,42,4365,1379,150,526,1291,107,132,0.98
2003,NL,COL,74,853,5518,1472,0.26676332,330,31,198,619,1134,63,37,52,38,892,821,5.2,3,4,34,4260,1629,200,552,866,116,165,0.98
2003,NL,SDN,64,678,5531,1442,0.260712349,257,32,128,565,1073,76,39,57,42,831,774,4.87,2,10,31,4294,1458,208,611,1091,102,141,0.98
2004,AL,MIN,92,780,5623,1494,0.265694469,310,24,191,513,982,116,46,64,40,715,661,4.03,4,9,48,4428,1523,167,431,1123,101,158,0.98
2004,AL,CHA,83,865,5534,1481,0.267618359,284,19,242,499,1030,78,51,63,42,831,782,4.91,8,8,34,4297,1505,224,527,1013,100,167,0.98
2004,AL,CLE,80,858,5676,1565,0.27572234,345,29,184,606,1009,94,55,78,42,857,784,4.81,8,8,32,4400,1553,201,579,1115,106,152,0.98
2004,AL,DET,72,827,5623,1531,0.272274587,284,54,201,518,1144,86,50,50,43,844,788,4.93,7,9,35,4319,1542,190,530,995,144,160,0.97
2004,AL,KCA,58,720,5538,1432,0.258577104,261,29,150,461,1057,67,48,76,38,905,813,5.15,6,3,25,4261,1638,208,518,887,131,169,0.97
2004,AL,NYA,101,897,5527,1483,0.26831916,281,20,242,670,982,84,33,80,50,808,752,4.69,1,5,59,4331,1532,182,445,1058,99,148,0.98
2004,AL,BOS,98,949,5720,1613,0.281993007,373,25,222,659,1189,68,30,69,55,768,674,4.18,4,12,36,4354,1430,159,447,1132,118,129,0.98
2004,AL,BAL,78,842,5736,1614,0.281380753,319,18,169,528,949,101,41,57,62,830,760,4.7,8,10,27,4366,1488,159,687,1090,110,161,0.98
2004,AL,TBA,70,714,5483,1416,0.258252781,278,46,145,469,944,132,42,55,56,842,757,4.81,3,5,35,4251,1459,192,580,923,119,139,0.98
2004,AL,TOR,67,719,5531,1438,0.259989152,290,34,145,513,1083,58,31,71,42,823,775,4.91,6,11,37,4263,1505,181,608,956,91,150,0.98
2004,AL,ANA,92,836,5675,1603,0.28246696,272,37,162,450,942,143,46,73,41,734,692,4.28,2,11,50,4363,1476,170,502,1164,90,126,0.98
2004,AL,OAK,91,793,5728,1545,0.269727654,336,15,189,608,1061,47,22,55,43,742,682,4.17,10,8,35,4414,1466,164,544,1034,91,172,0.98
2004,AL,TEX,89,860,5615,1492,0.26571683,323,34,227,500,1099,69,36,61,57,794,724,4.53,5,9,52,4319,1536,182,547,979,117,152,0.98
2004,AL,SEA,63,698,5722,1544,0.269835722,276,20,136,492,1058,110,42,54,48,823,772,4.76,7,7,28,4378,1498,212,575,1036,103,140,0.98
2004,NL,SLN,105,855,5555,1544,0.277947795,319,24,214,548,1085,111,47,51,70,659,605,3.75,4,12,57,4361,1378,169,440,1041,97,154,0.98
2004,NL,HOU,92,803,5468,1458,0.266642282,294,36,187,590,999,89,30,61,52,698,650,4.05,2,13,47,4329,1416,174,525,1282,101,136,0.98
2004,NL,CHN,89,789,5628,1508,0.267945984,308,29,235,489,1080,66,28,38,48,665,621,3.81,3,6,42,4396,1363,169,545,1346,86,126,0.98
2004,NL,CIN,76,750,5518,1380,0.250090613,287,28,194,599,1335,77,25,81,25,907,832,5.19,5,8,47,4331,1595,236,572,992,113,123,0.98
2004,NL,PIT,72,680,5483,1428,0.260441364,267,39,142,415,1066,63,40,95,42,744,680,4.29,3,8,46,4284,1451,149,576,1079,103,189,0.98
